,Multidisciplinar,Ciências Humanas,Ciências Biologicas,Ciências Agrarias,Ciências Exatas,Engenharias,"Linguística, Letras e Artes",Ciências Sociais,Ciências da Saúde
0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2
3,4,3,4,3,3,3,3,3,3
4,6,5,6,4,4,4,4,4,4
5,8,7,8,5,5,5,5,5,5
6,10,9,10,6,7,6,6,6,6
7,16,12,11,8,10,8,7,7,7
8,20,14,16,10,12,9,9,8,9
9,23,17,20,12,13,10,10,9,11
10,27,20,22,15,14,11,11,10,12
11,35,22,24,19,15,12,14,11,13
12,36,25,25,20,18,14,16,12,14
13,42,26,31,25,24,17,19,15,15
14,43,29,40,29,28,18,21,16,18
15,49,36,49,32,31,19,23,19,19
